,favourites_count,followers_count,friends_count,listed_count,retweet_count,statuses_count,text_length
1965,651,228,408,4,2,2916,85
1966,1555,120,165,2,17,1316,130
1967,858,43,57,0,35,1162,140
1968,2206,165,336,6,924,10925,104
1969,1228,46,137,2,0,303,134
1970,270598,1819,642,129,1,170673,94
1971,2777,136,350,10,0,7079,84
1972,1789,421,402,12,146,584,140
1973,387,115,159,5,1066,1760,148
1974,19905,225,73,27,1,19952,82
1975,1390,411,996,4,205,1475,140
1976,47512,2945,404,54,906,10914,139
1977,3348,323,520,8,0,5502,112
1978,2170,4581,203,169,6,14362,136
1979,91280,1421,1859,66,198,122234,76
1980,6580,7143,547,77,906,51688,139
1981,4492,810,1512,6,2,12170,75
1982,58,21,100,1,0,176,105
1983,78757,808,2346,19,1,24182,88
1984,71468,2129,1987,133,4,87536,121
1985,780,41,96,1,0,1736,114
1986,37165,2671,1755,124,2,103747,121
1987,30525,1932,472,71,3,46419,92
1988,37165,2671,1755,124,2,103747,123
1989,1661,76,178,4,1,1817,120
1990,28,219,355,2,0,3346,130
1991,387,115,159,5,102,1760,140
1992,22523,901,1053,29,0,13513,107
1993,17247,1647,2323,285,1,285259,106
1994,5568,3027,2782,289,3,181531,121
1995,2789,391,322,50,1463,15734,140
1996,13891,1514,2497,31,12,42500,114
1997,1105,148,471,3,0,1723,138
1998,37165,2671,1755,124,2,103747,140
1999,24339,257,484,15,6,34603,140
2000,30115,3248,2815,54,1,38426,125
2001,61687,1106,749,25,1,30759,135
2002,2,8539,10710,840,1,676908,82
2003,66,221,300,1,0,639,140
2004,7493,12777,1518,37,1,13451,107
2005,4022,271,356,8,42,6616,140
2006,1098,66,142,3,1,2371,135
2007,34079,540,887,27,62,14735,140
2008,25645,127,587,2,31,2408,133
2009,21122,909,2599,42,0,24903,144
2010,329,109,146,0,1,850,131
2011,52485,1481,4995,51,773,37182,140
2012,210,71,212,1,8,2108,113
2013,18409,9198,6505,328,32,313813,140
2014,22380,440,1266,13,175,16503,140
2015,591,109,235,0,1066,1147,148
2016,7053,564,946,8,3,21040,106
2017,780,41,96,1,1,1736,51
2018,707,1293,138,33,3,8750,140
2019,13863,363,525,14,2,15706,105
2020,30115,3248,2815,54,0,38426,61
2021,20000,267,110,21,298,62980,140
2022,29469,810,1473,23,0,23827,75
2023,2825,561,1128,8,146,4855,140
2024,7984,1474,2388,66,0,7174,118
2025,1151,3229,3270,171,906,15248,139
2026,12399,573,502,37,0,23295,129
2027,252001,1613,1359,103,62,103816,140
2028,0,1317,93,69,0,8132,140
2029,5226,533,980,7,62,5338,140
2030,20558,1045,588,42,17,29576,130
2031,2,53,90,1,0,6,137
2032,190958,4872,3068,281,419,236620,133
2033,0,338,201,66,0,48941,87
2034,7398,524,996,11,0,5938,127
2035,3069,277,283,5,0,4715,138
2036,5568,3027,2782,289,0,181531,61
2037,368717,1575,1104,284,62,358427,140
2038,862,867,9,20,0,25694,129
2039,2603,525,764,12,0,2996,142
2040,16793,4903,804,377,773,43950,140
2041,19905,225,73,27,0,19952,73
2042,118610,323,136,37,906,158646,139
2043,4484,72,40,4,145,870,139
2044,37165,2671,1755,124,2,103747,123
2045,7773,131,27,8,0,34235,136
2046,11402,570,371,22,0,15801,93
2047,651,228,408,4,42,2916,140
2048,57,13,44,1,0,1393,82
2049,19905,225,73,27,1,19952,131
2050,19905,225,73,27,2,19952,105
2051,12399,573,502,37,1,23295,140
2052,7398,524,996,11,0,5938,30
2053,29282,738,1060,64,0,28792,133
2054,7288,1015,1566,15,1,10627,112
2055,2304,127,137,6,1,11156,140
2056,2987,298,733,13,0,12582,86
2057,328,104,244,1,0,1007,106
2058,177754,9411,3239,116,12,175348,114
2059,423630,2813,2220,328,906,364488,139
2060,56849,687,32,4,0,26323,126
2061,37165,2671,1755,124,4,103747,140
2062,30,34,65,0,0,6976,111
2063,688,179,393,5,0,2073,134
2064,19681,1645,904,62,0,52404,112
2065,318,474,221,22,12,166891,114
